year,month,diff_temp
1950,2,-0.27
1950,3,-0.07
1950,4,-0.21
1950,5,-.11
1950,6,-.05
1950,7,-.08
1950,8,-.16
1950,9,-.11
1950,10,-.20
1950,11,-.34
1950,12,-.21
1951,1,-0.34
1951,2,-0.41
1951,3,-0.2
1951,4,-0.14
1951,5,.00
1951,6,-.06
1951,7,-.01
1951,8,.06
1951,9,.05
1951,10,.08
1951,11,-.01
1951,12,.16
1952,1,0.11
1952,2,0.11
1952,3,-0.08
1952,4,0.03
1952,5,-.03
1952,6,-.03
1952,7,.04
1952,8,.05
1952,9,.07
1952,10,.00
1952,11,-.13
1952,12,-.02
1953,1,0.07
1953,2,0.15
1953,3,0.11
1953,4,0.19
1953,5,.11
1953,6,.12
1953,7,.01
1953,8,.05
1953,9,.05
1953,10,.08
1953,11,-.03
1953,12,.05
1954,1,-0.24
1954,2,-0.1
1954,3,-0.15
1954,4,-0.14
1954,5,-.20
1954,6,-.19
1954,7,-.19
1954,8,-.18
1954,9,-.10
1954,10,-.02
1954,11,.08
1954,12,-.18
1955,1,0.14
1955,2,-0.16
1955,3,-0.32
1955,4,-0.22
1955,5,-.20
1955,6,-.14
1955,7,-.11
1955,8,.02
1955,9,-.11
1955,10,-.05
1955,11,-.25
1955,12,-.28
1956,1,-0.13
1956,2,-0.24
1956,3,-0.21
1956,4,-0.28
1956,5,-.29
1956,6,-.15
1956,7,-.09
1956,8,-.26
1956,9,-.19
1956,10,-.23
1956,11,-.15
1956,12,-.06
1957,1,-0.09
1957,2,-0.03
1957,3,-0.05
1957,4,0.0
1957,5,.09
1957,6,.16
1957,7,.02
1957,8,.15
1957,9,.09
1957,10,.01
1957,11,.08
1957,12,.15
1958,1,0.39
1958,2,0.22
1958,3,0.09
1958,4,0.01
1958,5,.06
1958,6,-.08
1958,7,.05
1958,8,-.05
1958,9,-.02
1958,10,.04
1958,11,.02
1958,12,.01
1959,1,0.08
1959,2,0.07
1959,3,0.18
1959,4,0.16
1959,5,.04
1959,6,.03
1959,7,.03
1959,8,-.01
1959,9,-.06
1959,10,-.07
1959,11,-.08
1959,12,.00
1960,1,0.0
1960,2,0.13
1960,3,-0.35
1960,4,-0.15
1960,5,-.08
1960,6,-.04
1960,7,-.04
1960,8,.02
1960,9,.07
1960,10,.06
1960,11,-.11
1960,12,.19
1961,1,0.07
1961,2,0.19
1961,3,0.09
1961,4,0.13
1961,5,.12
1961,6,.12
1961,7,.01
1961,8,.01
1961,9,.08
1961,10,.00
1961,11,.03
1961,12,-.16
1962,1,0.05
1962,2,0.15
1962,3,0.1
1962,4,0.05
1962,5,-.06
1962,6,.03
1962,7,.02
1962,8,-.01
1962,9,.00
1962,10,.01
1962,11,.06
1962,12,-.03
1963,1,-0.03
1963,2,0.18
1963,3,-0.14
1963,4,-0.07
1963,5,-.06
1963,6,.05
1963,7,.06
1963,8,.23
1963,9,.18
1963,10,.14
1963,11,.15
1963,12,-.03
1964,1,-0.09
1964,2,-0.1
1964,3,-0.21
1964,4,-0.32
1964,5,-.25
1964,6,-.04
1964,7,-.04
1964,8,-.22
1964,9,-.29
1964,10,-.31
1964,11,-.21
1964,12,-.30
1965,1,-0.08
1965,2,-0.17
1965,3,-0.13
1965,4,-0.19
1965,5,-.12
1965,6,-.08
1965,7,-.13
1965,8,-.04
1965,9,-.15
1965,10,-.05
1965,11,-.06
1965,12,-.08
1966,1,-0.19
1966,2,-0.04
1966,3,0.03
1966,4,-0.13
1966,5,-.12
1966,6,.01
1966,7,.08
1966,8,-.09
1966,9,-.03
1966,10,-.17
1966,11,-.01
1966,12,-.03
1967,1,-0.08
1967,2,-0.21
1967,3,0.05
1967,4,-0.05
1967,5,.12
1967,6,-.08
1967,7,.02
1967,8,.01
1967,9,-.06
1967,10,.09
1967,11,-.05
1967,12,-.05
1968,1,-0.26
1968,2,-0.14
1968,3,0.2
1968,4,-0.06
1968,5,-.14
1968,6,-.09
1968,7,-.13
1968,8,-.09
1968,9,-.19
1968,10,.09
1968,11,-.05
1968,12,-.14
1969,1,-0.11
1969,2,-0.18
1969,3,0.01
1969,4,0.17
1969,5,.18
1969,6,.03
1969,7,-.04
1969,8,.04
1969,9,.08
1969,10,.09
1969,11,.12
1969,12,.24
1970,1,0.08
1970,2,0.22
1970,3,0.06
1970,4,0.05
1970,5,-.03
1970,6,-.02
1970,7,.01
1970,8,-.10
1970,9,.12
1970,10,.03
1970,11,.02
1970,12,-.12
1971,1,-0.03
1971,2,-0.15
1971,3,-0.18
1971,4,-0.07
1971,5,-.05
1971,6,-.16
1971,7,-.08
1971,8,-.01
1971,9,-.06
1971,10,-.04
1971,11,-.07
1971,12,-.08
1972,1,-0.22
1972,2,-0.18
1972,3,0.02
1972,4,0.0
1972,5,-.03
1972,6,.04
1972,7,.01
1972,8,.16
1972,9,.02
1972,10,.08
1972,11,.02
1972,12,.18
1973,1,0.29
1973,2,0.32
1973,3,0.29
1973,4,0.27
